"Grad/LUZ","2013 UK","2013 M","2013 Ž","2013 0- 4 UK","2013 0- 4 M","2013 0- 4 Ž","2013  5-9 UK","2013  5-9 M","2013  5-9 Ž","2013  10-14 UK","2013  10-14 M","2013  10-14 Ž","2013 15-19 UK","2013 15-19 M","2013 15-19 Ž","2013 20-24 UK","2013 20-24 M","2013 20-24 Ž","2013 25-34 UK","2013 25-34 M","2013 25-34 Ž","2013 35-44 UK","2013 35-44 M","2013 35-44 Ž","2013 45-54 UK","2013 45-54 M","2013 45-54 Ž","2013 55-64 UK","2013 55-64 M","2013 55-64 Ž","2013 65-74 UK","2013 65-74 M","2013 65-74 Ž","2013 75+ UK","2013 75+ M","2013 75+ Ž","2014 UK","2014 M","2014 Ž","2014 0- 4 UK","2014 0- 4 M","2014 0- 4 Ž","2014  5-9 UK","2014  5-9 M","2014  5-9 Ž","2014  10-14 UK","2014  10-14 M","2014  10-14 Ž","2014 15-19 UK","2014 15-19 M","2014 15-19 Ž","2014 20-24 UK","2014 20-24 M","2014 20-24 Ž","2014 25-34 UK","2014 25-34 M","2014 25-34 Ž","2014 35-44 UK","2014 35-44 M","2014 35-44 Ž","2014 45-54 UK","2014 45-54 M","2014 45-54 Ž","2014 55-64 UK","2014 55-64 M","2014 55-64 Ž","2014 65-74 UK","2014 65-74 M","2014 65-74 Ž","2014 75+ UK","2014 75+ M","2014 75+ Ž"
"ZAGREB",791946,370241,421705,41193,21077,20116,35741,18350,17391,39408,20333,19075,40942,20917,20025,46794,23333,23461,121326,59478,61848,113600,55013,58587,109406,50654,58752,106432,47755,58677,76631,32329,44302,60473,21002,39471,793049,370757,422292,41251,21107,20144,35791,18375,17416,39463,20361,19102,40999,20946,20053,46859,23365,23494,121495,59561,61934,113758,55090,58668,109559,50725,58834,106581,47822,58759,76738,32374,44364,60555,21031,39524
"LUZ ZAGREB",1219889,577811,642078,63465,32498,30967,57251,29485,27766,64046,32858,31188,65526,33466,32060,72727,36528,36199,180384,89625,90759,172790,85233,87557,172089,82006,90083,164208,76027,88181,116304,49561,66743,91099,30524,60575,1220967,578319,642648,63521,32527,30994,57301,29511,27790,64103,32887,31216,65583,33495,32088,72791,36560,36231,180544,89704,90840,172943,85308,87635,172241,82078,90163,164353,76094,88259,116406,49604,66802,91181,30551,60630
"RIJEKA",126215,59809,66406,4901,2482,2419,4684,2458,2226,5099,2662,2437,5660,2862,2798,7285,3644,3641,17724,9062,8662,16751,8195,8556,18989,8956,10033,20209,9466,10743,13125,5619,7506,11788,4403,7385,124838,59156,65682,4847,2455,2392,4633,2431,2202,5044,2633,2411,5598,2831,2767,7206,3605,3601,17530,8963,8567,16567,8105,8462,18782,8858,9924,19989,9363,10626,12981,5557,7424,11661,4355,7306
"LUZ RIJEKA",216689,103949,112740,9281,4765,4516,8551,4427,4124,9176,4721,4455,9985,5027,4958,12353,6206,6147,31298,16002,15296,29148,14411,14737,32562,15519,17043,34702,16602,18100,21463,9518,11945,18170,6751,11419,215986,103610,112376,9251,4749,4502,8522,4412,4110,9146,4706,4440,9953,5011,4942,12313,6186,6127,31196,15950,15246,29053,14364,14689,32456,15468,16988,34589,16548,18041,21393,9487,11906,18114,6729,11385
"SLAVONSKI BROD",58265,27791,30474,2957,1549,1408,2901,1554,1347,3688,1899,1789,3754,1904,1850,3758,1913,1845,7634,3848,3786,7491,3710,3781,8529,4015,4514,7613,3598,4015,5681,2353,3328,4259,1448,2811,57764,27551,30213,2931,1535,1396,2875,1540,1335,3657,1883,1774,3722,1888,1834,3726,1897,1829,7569,3815,3754,7427,3678,3749,8455,3980,4475,7547,3567,3980,5631,2332,3299,4224,1436,2788
"LUZ SLAVONSKI BROD",107301,52045,55256,5659,2950,2709,5653,2930,2723,7065,3615,3450,7373,3792,3581,7278,3756,3522,13682,7035,6647,13647,6869,6778,15824,7888,7936,13183,6419,6764,9987,4171,5816,7950,2620,5330,106348,51582,54766,5609,2924,2685,5603,2904,2699,7003,3583,3420,7308,3758,3550,7213,3722,3491,13560,6972,6588,13526,6808,6718,15683,7818,7865,13066,6362,6704,9898,4134,5764,7879,2597,5282
"OSIJEK",106964,49853,57111,4863,2487,2376,4679,2421,2258,5630,2890,2740,6003,3086,2917,6747,3376,3371,15272,7524,7748,14405,6974,7431,15869,7473,8396,14885,6652,8233,10799,4366,6433,7812,2604,5208,106345,49563,56782,4834,2472,2362,4652,2407,2245,5597,2873,2724,5969,3068,2901,6707,3356,3351,15183,7480,7703,14322,6934,7388,15777,7430,8347,14798,6613,8185,10737,4341,6396,7769,2589,5180
"LUZ OSIJEK",181488,86324,95164,8532,4351,4181,8429,4309,4120,9997,5115,4882,10514,5465,5049,11412,5808,5604,25051,12620,12431,24152,11967,12185,27495,13380,14115,24827,11639,13188,17874,7386,10488,13205,4284,8921,180810,86000,94810,8499,4334,4165,8398,4293,4105,9960,5096,4864,10475,5445,5030,11369,5786,5583,24956,12572,12384,24062,11922,12140,27392,13330,14062,24735,11596,13139,17806,7358,10448,13158,4268,8890
"SPLIT",176352,83649,92703,8627,4439,4188,8345,4245,4100,9430,4717,4713,10523,5389,5134,10997,5478,5519,23725,11901,11824,24086,11736,12350,25841,12334,13507,24881,11336,13545,15664,6741,8923,14233,5333,8900,175353,83173,92180,8579,4414,4165,8298,4221,4077,9377,4690,4687,10463,5358,5105,10935,5447,5488,23590,11833,11757,23949,11669,12280,25694,12264,13430,24739,11271,13468,15576,6703,8873,14153,5303,8850
"LUZ SPLIT",347370,168587,178783,18399,9433,8966,18046,9232,8814,20497,10394,10103,21609,11030,10579,22217,11219,10998,46975,23859,23116,47033,23656,23377,50442,25093,25349,45822,21887,23935,29781,13143,16638,26549,9641,16908,346748,168284,178464,18366,9416,8950,18014,9215,8799,20461,10376,10085,21571,11011,10560,22177,11199,10978,46891,23816,23075,46948,23613,23335,50352,25048,25304,45740,21848,23892,29727,13119,16608,26501,9623,16878
